02:14:21    0 ****************************************************
02:14:21    0 ** Dragonfly version 4.20 **
02:14:21    0 ** Game engine started **
02:14:21    0 ****************************************************
02:14:21    0 Fruit Ninjas (v1.0)
02:14:21    0 Server::Server(): Server started. Need 2 players
02:14:27  162 Server::handleAccept(): Server connected to socket: 0
02:14:27  162 Server::handleAccept(): Set delay 9 ms for socket 0
02:14:27  170 Server::handleData(): PING sent to all clients.
02:14:28  186 Server::handleData(): PING sent to all clients.
02:14:29  216 Server::handleData(): PING sent to all clients.
02:14:29  231 Server::handleData(): PING sent to all clients.
02:14:30  246 Server::handleData(): PING sent to all clients.
02:14:30  261 Server::handleData(): PING sent to all clients.
02:14:30  276 Server::handleData(): PING sent to all clients.
02:14:31  291 Server::handleData(): PING sent to all clients.
02:14:31  306 Server::handleData(): PING sent to all clients.
02:14:32  321 Server::handleData(): PING sent to all clients.
02:14:32  336 Server::handleData(): PING sent to all clients.
02:14:33  351 Server::handleData(): PING sent to all clients.
02:14:33  366 Server::handleData(): PING sent to all clients.
02:14:34  381 Server::handleData(): PING sent to all clients.
02:14:34  396 Server::handleData(): PING sent to all clients.
02:14:35  411 Server::handleData(): PING sent to all clients.
02:14:35  426 Server::handleData(): PING sent to all clients.
02:14:36  441 Server::handleData(): PING sent to all clients.
02:14:36  456 Server::handleData(): PING sent to all clients.
02:14:37  471 Server::handleData(): PING sent to all clients.
02:14:37  486 Server::handleData(): PING sent to all clients.
02:14:38  501 Server::handleData(): PING sent to all clients.
02:14:38  516 Server::handleData(): PING sent to all clients.
02:14:39  526 Server::handleAccept(): Server connected to socket: 1
02:14:39  526 Server::handleAccept(): Set delay 9 ms for socket 1
02:14:39  529 Server::handleData(): PING sent to all clients.
02:14:39  531 Server::handleData(): PING sent to all clients.
02:14:39  544 Server::handleData(): PING sent to all clients.
02:14:39  546 Server::handleData(): PING sent to all clients.
02:14:40  559 Server::handleData(): PING sent to all clients.
02:14:40  561 Server::handleData(): PING sent to all clients.
